Company,Job Title,Seniority Level,Location,Work Arrangement,Salary Range,Years Experience Required,Required Skills / Tools,Preferred / Nice-to-Have Skills,Education / Certifications,Key Responsibilities (Condensed),Industry / Domain,Company Size (Employees),Company Stage / Funding,Total Applicants (LinkedIn),Candidate Seniority Mix (LinkedIn),Notable Benefits,Date Added
ShopMy,Senior Data Analyst,Senior,"New York, NY (strong preference); open to remote East Coast",Hybrid preference / Remote (East Coast),"$125,000 - $175,000 USD (base)",4+ years,"Expert SQL; BI tools & data visualization; product analytics tools (Amplitude, Heap, Mixpanel); Python/JavaScript/R or notebooks; A/B testing, incrementality, attribution","AI-accelerated analysis/workflows; experience across e-commerce, marketplaces, B2B SaaS, martech, agencies, or social platforms",Not specified (no degree requirement stated),Own product analytics for key areas; build dashboards/data models; validate launches & monitor live products; deep-dive analyses; design experimentation strategy; audit tracking/instrumentation; support AI-product measurement,E-commerce / Creator Marketplace / SaaS,679,"Unicorn, $1.5B valuation; backed by Bessemer, Avenir Growth, Bain Capital Ventures",324,"65% Senior, 30% Entry, 2% Manager, 1% VP",Equity; 70% medical/dental; flexible PTO; 14wk parental leave; 401k (3% auto); wellness/tech/L&D stipends,2026-09-12
Deloitte,"Marketing/Advertising Analytics Consultant (Deloitte Digital, Customer)",Not specified (2+ yrs experience level),"New York, NY (listed); travel ~30%","Not specified (consulting, client-facing; travel required)","$91,100 - $179,500 (wage range disclosed, not geo-adjusted)",2+ years (digital marketing/advertising analytics); 1+ years Adobe CJA,"Adobe Customer Journey Analytics; Excel, SQL, Tableau; Google Analytics, DV360, Ads Data Hub, Adobe Analytics, Salesforce/SFMC; Datorama, Data Studio, Looker; A/B testing/experimentation",Marketing mix modeling / attribution; audience segmentation; tagging strategy; measurement & testing plan design; strong executive-facing storytelling,Bachelor's degree or equivalent professional experience,Map/optimize customer journeys; design analysis to answer client business questions; build dashboards (Tableau/Datorama/Looker/Data Studio); support measurement/testing/tagging strategy; translate data into exec-level storytelling,Consulting / Marketing & Advertising Analytics,533222,"Big Four consulting firm (established, not startup-stage)",20,"40% Senior, 30% Entry, 5% Manager",Discretionary annual incentive program (bonus eligible),2026-09-12
Amazon,Business Intelligence Engineer (SCOT LTPF),Not specified (3+ yrs experience level),"New York, NY or Bellevue, WA (dual location listing)","Not specified (in-office/hybrid implied, not stated)","NY: $109,500 - $185,000; WA: $99,500 - $160,000 (base + RSUs + sign-on)",3+ years analyzing/interpreting data; 1+ years SQL/ETL; 1+ years statistical analysis; 1+ years automated reporting,"Redshift, Oracle, NoSQL; SQL, ETL; Tableau/QuickSight; R, SAS, Matlab; Python scripting; data modeling & warehousing","AWS (EC2, DynamoDB, S3, Redshift); large-scale complex dataset/data mining experience",Not specified (no degree requirement stated),"Build/maintain dashboards & data pipelines (QuickSight, SQL, AWS); collaborate with scientists/engineers on requirements; build ETL & data models; use GenAI to accelerate insights; deep-dive analyses; own medium-complexity projects end-to-end; participate in hiring loops",E-commerce / Supply Chain & Inventory Planning,765083,"Public, mature big-tech company",17,"41% Senior, 41% Entry",Medical/Dental/Vision; 401k match; PTO; parental leave; RSUs + sign-on bonus,2026-09-12
Jump Trading Group,Business Intelligence Researcher,Not specified (no years-of-experience minimum stated),"New York, NY","Not specified (in-office implied by trading-floor culture, not stated)","$175,000 - $200,000 USD (base)",Not specified (no explicit years requirement),Python (or similar) for automation; SQL; Linux; ETL pipelining/database concepts,Deep interest in trading/global markets; comfort with ambiguity; cross-team communication (technical <-> non-technical),Not specified (no degree requirement stated),Surface BI insights firm-wide; partner with developers/researchers/analysts; connect disparate data across teams/systems; post-trade statistical analysis of trading performance; broadcast insights globally; research to inform market-structure/exchange decisions,Proprietary Trading / Finance,2102,"Private proprietary trading firm, high growth (24% YoY headcount)",761,"45% Entry, 40% Senior, 2% Manager, 1% CXO",Discretionary bonus; medical/dental/vision; HSA/FSA; retirement match; paid parental leave; wellness programs,2026-09-12
Deloitte,"AI and Data Science Engineer II (Advertising, Marketing & Commerce)",II / Mid-level (2+ yrs experience),"New York, NY (listed); travel ~30%","Not specified (consulting, client-facing; travel required)","$86,700 - $170,900 (wage range disclosed, not geo-adjusted)",2+ years (industry data science/ML experience outside academia),"Exploratory data analysis; predictive modeling; clustering, sampling, feature transformation; boosted trees, logistic regression, classification, unsupervised models, LLMs, experimental design",ETL on large marketing datasets; adtech/martech data experience; presenting to non-technical audiences; deep learning or reinforcement learning,"Bachelor's in engineering, math, physics, ML, stats, CS, or quantitative field (Master's preferred)",Translate business goals into ML use cases/model design; perform EDA to find relationships/attribution patterns; build & validate predictive models/POCs; collaborate with clients and cross-functional analytics/data engineering teams,Consulting / AI & Data Science (Marketing & Advertising),533222,"Big Four consulting firm (established, not startup-stage)",165,"61% Entry, 20% Senior",Discretionary annual incentive program (bonus eligible),2026-09-12
Deloitte,"Forward Deployed Engineer, Microsoft AI & Data (Software Engineer)",Not specified (3+ yrs experience level),"New York, NY (listed); travel ~50%","Not specified (client-embedded, high travel required)","$134,500 - $265,100 (wage range disclosed, not geo-adjusted)","3+ years software/data engineering, data science, or analytics engineering; 1+ years GenAI/LLM production experience; 1+ years Azure AI Foundry","GenAI/LLM solution building; Azure AI Foundry; production code (testing, CI/CD, logging, versioning); leading project workstreams","Cloud (AWS/Azure/GCP); Spark, Airflow/dbt, streaming, data modeling; MLOps/LLMOps (evaluation, monitoring, prompt management); API/microservice integration; onshore/offshore team experience","Bachelor's in Computer Science, Data Science, or Engineering",Embed with clients to translate business needs into GenAI use cases; build AI-enabled solutions/agentic platforms/workflows; apply architecture decisions balancing quality/safety/latency/cost; deliver production-quality code; mentor newer team members,"Consulting / AI Engineering (Software, not core analytics)",533222,"Big Four consulting firm (established, not startup-stage)",99,"59% Entry, 27% Senior",Discretionary annual incentive program (bonus eligible),2026-09-12
Deloitte,"Analytics and Insights Engineer III (Advertising, Marketing & Commerce)",III / Senior-track (4+ yrs experience),"New York, NY (listed); travel ~30%","Not specified (consulting, client-facing; travel required)","$116,200 - $229,100 (wage range disclosed, not geo-adjusted)","4+ years (managing digital marketing/advertising analytics, incl. marketing mix modeling or attribution)","Tableau, Datorama, Data Studio, Looker (dashboards/visualization); Google Analytics, DV360, Ads Data Hub, Adobe Analytics, Salesforce/SFMC; Excel, SQL",Analytics/modeling/tagging strategy definition; measurement & testing plan design; digital analytics platforms & tag management; managing project timelines across workstreams; exec/client-facing presentation,Bachelor's degree or equivalent professional experience,"Design/execute analyses across paid, owned, earned channels; develop measurement frameworks & learning agendas; analyze large datasets for insights/recommendations; build dashboards for exec/client audiences; support testing/tagging/experimentation deployment",Consulting / Marketing & Advertising Analytics,533222,"Big Four consulting firm (established, not startup-stage)",76,"59% Senior, 30% Entry, 3% Manager, 1% VP",Discretionary annual incentive program (bonus eligible),2026-09-12
Accenture (Accenture Song),"Growth Consultant (Customer-Led Growth Strategy, CMT industry)",Consultant / Not specified (3+ yrs experience level),"New York, NY (listed); multi-state salary bands also given","Not specified (consulting, client-facing)","NY: $66,300 - $196,000 (varies widely by location; ranges shown for 13 states/regions)","3+ years in strategy consulting, corporate innovation, or analytics roles","Structured/hypothesis-led problem solving; business case development, financial modeling, investment analysis; concept testing/experimentation; data-to-storytelling synthesis","Client-facing consulting delivery experience; customer research/experimentation exposure; CMT (Communications, Media, Technology) industry experience; MBA or innovation program experience; understanding of AI/GenAI applications",Not specified (no degree requirement stated; MBA preferred),Conduct structured analysis of customer needs/market dynamics/competitive landscape; build business cases for investment decisions; run rapid validation/experimentation; synthesize insights into client recommendations; collaborate with design/product/marketing/data-AI teams,Consulting / Growth Strategy (CMT industry),701656,"Big Four-adjacent global consulting firm (established, not startup-stage)",300,"52% Senior, 29% Entry, 4% Director, 4% Manager",Medical/dental/vision/life/LTD; 401k; bonus opportunities; paid holidays/PTO,2026-09-12
Accenture,Management Consultant (Tech Industry Execution/Transformation),Consultant / Not specified (3+ yrs experience level),"New York, NY (listed); multi-state salary bands also given","Not specified (consulting, client-facing); travel 40-50% (up to 80%)","NY: $66,300 - $205,800 (varies widely by location; ranges shown for 13 states/regions)",3+ years professional experience in tech industry or consulting,Translating strategy into implementation plans/operating models; stakeholder management; ROI/value tracking; cost reduction & efficiency execution; client-ready executive materials,"MBA or graduate degree; GenAI/ML/AI-platform application experience; Power BI, Tableau, Alteryx, Adobe Analytics, Google Analytics; familiarity with LLM tooling/AI platform strategy",Bachelor's degree (no field specified); MBA preferred,Translate strategy/roadmaps into workstreams and operating models; drive execution directly with client teams; size and track transformation value/ROI; execute cost reduction/efficiency initiatives; develop client-ready materials; lead workstreams end-to-end; support business development; mentor junior team members,Consulting / Tech Industry Transformation & Execution,701656,"Big Four-adjacent global consulting firm (established, not startup-stage)",98,"55% Senior, 19% Entry, 6% Manager, 1% CXO",Medical/dental/vision/life/LTD; 401k; bonus opportunities; paid holidays/PTO,2026-09-12
Accenture,AI & Data Decision Science Consultant (Utilities Industry),Consultant / Not specified (3+ yrs experience level),"New York, NY (listed); multi-state salary bands also given","Not specified (consulting, client-facing); travel up to 80%","NY: $66,300 - $205,800 (varies widely by location; ranges shown for 13 states/regions)","3+ years Data Science/ML/AI/Advanced Analytics; 3+ years building decision-based frameworks/models; 1+ years serving utilities clients (electric, gas, or water)","Python, R, or SQL; ML frameworks (TensorFlow, PyTorch, scikit-learn); AI-native/cloud platforms (OpenAI, Anthropic, AWS, Azure, GCP); big data (Hadoop, Spark); data visualization (Tableau, Power BI)","Agent-based modeling, reinforcement learning, autonomous systems; program management/communication skills; Master's in Data Science, CS, Statistics, or related field",Bachelor's degree or equivalent (min. 12 yrs work experience) or Associate's with min. 6 yrs experience,Deliver Data Science/AI/Analytics initiatives; collaborate with onshore/offshore teams; bridge business and technical domains; support DS/ML sales solutioning; develop/customize DS/ML/AI models for business problems; identify AI use cases and build ROI/transformation roadmaps; advise on responsible AI adoption/governance,Consulting / AI & Data Decision Science (Utilities industry focus),701656,"Big Four-adjacent global consulting firm (established, not startup-stage)",113,"49% Entry, 40% Senior, 1% CXO",Medical/dental/vision/life/LTD; 401k; bonus opportunities; paid holidays/PTO,2026-09-12
