Company,Years Experience Required,Required Skills / Tools,Preferred / Nice-to-Have Skills,Key Responsibilities (Condensed),Company Size (Employees),Total Applicants (LinkedIn),Date Added,Salary Additional,Salary Range Low,Salary Range High,Location Clean,Travel,Travel Allocation,Seniority Category,Years of Experience,Job Title Clean,Job Title Detail,Arrangement Type,Arrangement Confidence,Industry Category,Industry Detail,Company Size Tier,Company Stage Clean,Education Tier,MBA Mentioned,Has Equity,Has Sign-on Bonus,Has Parental Leave,Benefits Specified
ShopMy,4+ years,"Expert SQL; BI tools & data visualization; product analytics tools (Amplitude, Heap, Mixpanel); Python/JavaScript/R or notebooks; A/B testing, incrementality, attribution","AI-accelerated analysis/workflows; experience across e-commerce, marketplaces, B2B SaaS, martech, agencies, or social platforms",Own product analytics for key areas; build dashboards/data models; validate launches & monitor live products; deep-dive analyses; design experimentation strategy; audit tracking/instrumentation; support AI-product measurement,679,324,2026-09-12,,125000,175000,"New York, NY",No,,Senior,5+,Senior Data Analyst,,Hybrid,Stated,E-commerce,Creator Marketplace / SaaS,Startup (<1K),Unicorn/Startup,Not Specified,No,Yes,No,Yes,Yes
Deloitte,2+ years (digital marketing/advertising analytics); 1+ years Adobe CJA,"Adobe Customer Journey Analytics; Excel, SQL, Tableau; Google Analytics, DV360, Ads Data Hub, Adobe Analytics, Salesforce/SFMC; Datorama, Data Studio, Looker; A/B testing/experimentation",Marketing mix modeling / attribution; audience segmentation; tagging strategy; measurement & testing plan design; strong executive-facing storytelling,Map/optimize customer journeys; design analysis to answer client business questions; build dashboards (Tableau/Datorama/Looker/Data Studio); support measurement/testing/tagging strategy; translate data into exec-level storytelling,533222,20,2026-09-12,,91100,179500,"New York, NY",Yes,30%,Mid,2+,Marketing/Advertising Analytics Consultant,"Deloitte Digital, Customer",Not Specified,Implied,Consulting,Marketing & Advertising Analytics,Enterprise (100K+),Established,Bachelor's,No,No,No,No,Yes
Amazon,3+ years analyzing/interpreting data; 1+ years SQL/ETL; 1+ years statistical analysis; 1+ years automated reporting,"Redshift, Oracle, NoSQL; SQL, ETL; Tableau/QuickSight; R, SAS, Matlab; Python scripting; data modeling & warehousing","AWS (EC2, DynamoDB, S3, Redshift); large-scale complex dataset/data mining experience","Build/maintain dashboards & data pipelines (QuickSight, SQL, AWS); collaborate with scientists/engineers on requirements; build ETL & data models; use GenAI to accelerate insights; deep-dive analyses; own medium-complexity projects end-to-end; participate in hiring loops",765083,17,2026-09-12,(base + RSUs + sign-on),99500,160000,"New York, NY",No,,Mid,3+,Business Intelligence Engineer,SCOT LTPF,Hybrid,Implied,E-commerce,Supply Chain & Inventory Planning,Enterprise (100K+),Public,Not Specified,No,Yes,Yes,Yes,Yes
Jump Trading Group,Not specified (no explicit years requirement),Python (or similar) for automation; SQL; Linux; ETL pipelining/database concepts,Deep interest in trading/global markets; comfort with ambiguity; cross-team communication (technical <-> non-technical),Surface BI insights firm-wide; partner with developers/researchers/analysts; connect disparate data across teams/systems; post-trade statistical analysis of trading performance; broadcast insights globally; research to inform market-structure/exchange decisions,2102,761,2026-09-12,,175000,200000,"New York, NY",No,,Senior,5+,Business Intelligence Researcher,,Not Specified,Implied,Proprietary Trading,Finance,Mid-size (1K-100K),Private,Not Specified,No,No,No,Yes,Yes
Deloitte,2+ years (industry data science/ML experience outside academia),"Exploratory data analysis; predictive modeling; clustering, sampling, feature transformation; boosted trees, logistic regression, classification, unsupervised models, LLMs, experimental design",ETL on large marketing datasets; adtech/martech data experience; presenting to non-technical audiences; deep learning or reinforcement learning,Translate business goals into ML use cases/model design; perform EDA to find relationships/attribution patterns; build & validate predictive models/POCs; collaborate with clients and cross-functional analytics/data engineering teams,533222,165,2026-09-12,,86700,170900,"New York, NY",Yes,30%,Mid,2+,AI and Data Science Engineer II,"Advertising, Marketing & Commerce",Not Specified,Implied,Consulting,AI & Data Science (Marketing & Advertising),Enterprise (100K+),Established,Bachelor's (Advanced Preferred),No,No,No,No,Yes
Deloitte,"3+ years software/data engineering, data science, or analytics engineering; 1+ years GenAI/LLM production experience; 1+ years Azure AI Foundry","GenAI/LLM solution building; Azure AI Foundry; production code (testing, CI/CD, logging, versioning); leading project workstreams","Cloud (AWS/Azure/GCP); Spark, Airflow/dbt, streaming, data modeling; MLOps/LLMOps (evaluation, monitoring, prompt management); API/microservice integration; onshore/offshore team experience",Embed with clients to translate business needs into GenAI use cases; build AI-enabled solutions/agentic platforms/workflows; apply architecture decisions balancing quality/safety/latency/cost; deliver production-quality code; mentor newer team members,533222,99,2026-09-12,,134500,265100,"New York, NY",Yes,50%,Mid,3+,"Forward Deployed Engineer, Microsoft AI & Data",Software Engineer,Not Specified,Implied,Consulting,"AI Engineering (Software, not core analytics)",Enterprise (100K+),Established,Bachelor's,No,No,No,No,Yes
Deloitte,"4+ years (managing digital marketing/advertising analytics, incl. marketing mix modeling or attribution)","Tableau, Datorama, Data Studio, Looker (dashboards/visualization); Google Analytics, DV360, Ads Data Hub, Adobe Analytics, Salesforce/SFMC; Excel, SQL",Analytics/modeling/tagging strategy definition; measurement & testing plan design; digital analytics platforms & tag management; managing project timelines across workstreams; exec/client-facing presentation,"Design/execute analyses across paid, owned, earned channels; develop measurement frameworks & learning agendas; analyze large datasets for insights/recommendations; build dashboards for exec/client audiences; support testing/tagging/experimentation deployment",533222,76,2026-09-12,,116200,229100,"New York, NY",Yes,30%,Senior,4+,Analytics and Insights Engineer III,"Advertising, Marketing & Commerce",Not Specified,Implied,Consulting,Marketing & Advertising Analytics,Enterprise (100K+),Established,Bachelor's,No,No,No,No,Yes
Accenture (Accenture Song),"3+ years in strategy consulting, corporate innovation, or analytics roles","Structured/hypothesis-led problem solving; business case development, financial modeling, investment analysis; concept testing/experimentation; data-to-storytelling synthesis","Client-facing consulting delivery experience; customer research/experimentation exposure; CMT (Communications, Media, Technology) industry experience; MBA or innovation program experience; understanding of AI/GenAI applications",Conduct structured analysis of customer needs/market dynamics/competitive landscape; build business cases for investment decisions; run rapid validation/experimentation; synthesize insights into client recommendations; collaborate with design/product/marketing/data-AI teams,701656,300,2026-09-12,,66300,196000,"New York, NY",No,,Mid,3+,Growth Consultant,"Customer-Led Growth Strategy, CMT industry",Not Specified,Implied,Consulting,Growth Strategy (CMT industry),Enterprise (100K+),Established,Bachelor's (Advanced Preferred),Yes,No,No,No,Yes
Accenture,3+ years professional experience in tech industry or consulting,Translating strategy into implementation plans/operating models; stakeholder management; ROI/value tracking; cost reduction & efficiency execution; client-ready executive materials,"MBA or graduate degree; GenAI/ML/AI-platform application experience; Power BI, Tableau, Alteryx, Adobe Analytics, Google Analytics; familiarity with LLM tooling/AI platform strategy",Translate strategy/roadmaps into workstreams and operating models; drive execution directly with client teams; size and track transformation value/ROI; execute cost reduction/efficiency initiatives; develop client-ready materials; lead workstreams end-to-end; support business development; mentor junior team members,701656,98,2026-09-12,,66300,205800,"New York, NY",Yes,40-50% (up to 80%),Mid,3+,Management Consultant,Tech Industry Execution/Transformation,Not Specified,Implied,Consulting,Tech Industry Transformation & Execution,Enterprise (100K+),Established,Bachelor's (Advanced Preferred),Yes,No,No,No,Yes
Accenture,"3+ years Data Science/ML/AI/Advanced Analytics; 3+ years building decision-based frameworks/models; 1+ years serving utilities clients (electric, gas, or water)","Python, R, or SQL; ML frameworks (TensorFlow, PyTorch, scikit-learn); AI-native/cloud platforms (OpenAI, Anthropic, AWS, Azure, GCP); big data (Hadoop, Spark); data visualization (Tableau, Power BI)","Agent-based modeling, reinforcement learning, autonomous systems; program management/communication skills; Master's in Data Science, CS, Statistics, or related field",Deliver Data Science/AI/Analytics initiatives; collaborate with onshore/offshore teams; bridge business and technical domains; support DS/ML sales solutioning; develop/customize DS/ML/AI models for business problems; identify AI use cases and build ROI/transformation roadmaps; advise on responsible AI adoption/governance,701656,113,2026-09-12,,66300,205800,"New York, NY",Yes,up to 80%,Mid,3+,AI & Data Decision Science Consultant,Utilities Industry,Not Specified,Implied,Consulting,AI & Data Decision Science (Utilities industry focus),Enterprise (100K+),Established,Bachelor's,No,No,No,No,Yes
Accenture,5+ years professional experience in tech industry or consulting,Market/competitive analysis; market sizing & financial scenario modeling; business case development; client relationship management; workstream leadership end-to-end,"MBA or graduate degree; hands-on GenAI/ML/AI-platform experience; Power BI, Tableau, Alteryx, Adobe Analytics, Google Analytics; familiarity with LLM tooling/AI platform strategy","Define strategies/roadmaps for tech companies (product strategy, AI adoption, data center strategy, GTM planning); conduct market/competitive analysis; size markets & model financial scenarios/business cases; identify cost reduction opportunities; lead client relationship day-to-day; develop junior team members; support business development",701656,65,2026-09-12,,87400,253000,"New York, NY",Yes,40-50%,Senior,5+,"Strategy Manager, Technology & AI-Native Companies",,On-site,Stated,Consulting,Strategy (Tech & AI-Native Industry),Enterprise (100K+),Established,Bachelor's (Advanced Preferred),Yes,No,No,No,Yes
IBM,"Not specified (entry level; ""prior full time work experience"" required but no year count given)",AI-native workflow redesign; enterprise operating model architecture; value creation analysis/benchmarking; technology roadmap & experimentation strategy,Strategy/transformation/operations background; technology/product/analytics background; finance/value creation/operating model design; AI/automation/workflow modernization exposure,Conduct workflow assessments across Finance/HR/Procurement/Ops/Sales; apply zero-based design for AI-native workflows; evaluate AI prototypes/tools/platforms; build multi-quarter tech & transformation roadmaps; develop value hypotheses/financial models for AI deployments; prepare executive materials,343784,324,2026-09-12,,134400,201600,"New York, NY",No,,Entry Level,2+,AI-First Transformation Strategy Consultant,"Entry Level, 2027 start",Hybrid,Stated,Consulting,AI Enterprise Transformation Strategy,Enterprise (100K+),Public,MBA Required,Yes,No,No,No,No
