Skill,Bucket,Proficiency
Stakeholder Management,Business Acumen,Advanced
Business Requirements Translation,Business Acumen,Intermediate
Competitive Analysis,Business Acumen,Intermediate
Cross-Functional Collaboration,Business Acumen,Intermediate
Executive Communication,Business Acumen,Intermediate
KPI Development,Business Acumen,Intermediate
Market Research,Business Acumen,Intermediate
Strategic Thinking,Business Acumen,Intermediate
Adaptability,Soft Skills,Advanced
Collaboration,Soft Skills,Advanced
Communication,Soft Skills,Advanced
Conflict Resolution,Soft Skills,Advanced
Leadership,Soft Skills,Advanced
Navigating Ambiguity,Soft Skills,Advanced
Problem Solving,Soft Skills,Advanced
Time Management,Soft Skills,Advanced
Working Independently,Soft Skills,Advanced
Working in Teams,Soft Skills,Advanced
Mentoring,Soft Skills,Intermediate
Presenting to Stakeholders,Soft Skills,Intermediate
AI,Technical,Advanced
AI-Assisted Workflows,Technical,Advanced
Azure,Technical,Advanced
CSS,Technical,Advanced
Consumer Analytics,Technical,Advanced
Correlation Analysis,Technical,Advanced
Data Analysis,Technical,Advanced
Data Dashboards,Technical,Advanced
Google Colab,Technical,Advanced
Google Sheets,Technical,Advanced
HTML,Technical,Advanced
JavaScript,Technical,Advanced
Python,Technical,Advanced
Segmentation,Technical,Advanced
Snowflake,Technical,Advanced
Statistical Data Analysis,Technical,Advanced
Technical Documentation,Technical,Advanced
Data Mining,Technical,Intermediate
Data Modeling,Technical,Intermediate
Data Science,Technical,Intermediate
Data Storytelling,Technical,Intermediate
Data Visualization,Technical,Intermediate
Excel,Technical,Intermediate
Feature Importance,Technical,Intermediate
GitHub,Technical,Intermediate
Gradient Boosting,Technical,Intermediate
Hyperparameter Tuning,Technical,Intermediate
IT Business Analysis,Technical,Intermediate
K-Means Cluster Segmentation,Technical,Intermediate
LOGO Cross-Validation,Technical,Intermediate
Machine Learning,Technical,Intermediate
Marketing Data Analysis,Technical,Intermediate
Matplotlib,Technical,Intermediate
Microsoft Power BI,Technical,Intermediate
NumPy,Technical,Intermediate
Pandas,Technical,Intermediate
Project Planning,Technical,Intermediate
Requirements Gathering,Technical,Intermediate
SQL,Technical,Intermediate
Statistical Analysis,Technical,Intermediate
Scikit-learn,Technical,Beginner
Tableau,Technical,Beginner
