job_id,company,industry_vertical,job_title,skills_responsibilities,years_of_experience,experience_level,travel,travel_allocation,salary_low,salary_high,est_employee_count,company_size,num_of_applicants
0,ShopMy,E-commerce,Senior Data Analyst,"Expert SQL; BI tools & data visualization; product analytics tools (Amplitude, Heap, Mixpanel); Python/JavaScript/R or notebooks; A/B testing, incrementality, attribution; AI-accelerated analysis/workflows; experience across e-commerce, marketplaces, B2B SaaS, martech, agencies, or social platforms; Own product analytics for key areas; build dashboards/data models; validate launches & monitor live products; deep-dive analyses; design experimentation strategy; audit tracking/instrumentation; support AI-product measurement; Creator Marketplace / SaaS",4,Mid,No,0,125000,175000,679,Startup,324
1,Deloitte,Consulting,Marketing/Advertising Analytics Consultant,"Adobe Customer Journey Analytics; Excel, SQL, Tableau; Google Analytics, DV360, Ads Data Hub, Adobe Analytics, Salesforce/SFMC; Datorama, Data Studio, Looker; A/B testing/experimentation(digital marketing/advertising analytics); 1+ years Adobe CJA; Marketing mix modeling / attribution; audience segmentation; tagging strategy; measurement & testing plan design; strong executive-facing storytelling; Map/optimize customer journeys; design analysis to answer client business questions; build dashboards (Tableau/Datorama/Looker/Data Studio); support measurement/testing/tagging strategy; translate data into exec-level storytellingDeloitte Digital, Customer; Marketing & Advertising Analytics",3,Mid,Yes,0,91100,179500,533222,Enterprise,20
2,Amazon,E-commerce,Business Intelligence Engineer,"Redshift, Oracle, NoSQL; SQL, ETL; Tableau/QuickSight; R, SAS, Matlab; Python scripting; data modeling & warehousinganalyzing/interpreting data; 1+ years SQL/ETL; 1+ years statistical analysis; 1+ years automated reporting; AWS (EC2, DynamoDB, S3, Redshift); large-scale complex dataset/data mining experience; Build/maintain dashboards & data pipelines (QuickSight, SQL, AWS); collaborate with scientists/engineers on requirements; build ETL & data models; use GenAI to accelerate insights; deep-dive analyses; own medium-complexity projects end-to-end; participate in hiring loopsSCOT LTPF; Supply Chain & Inventory Planning",3,Mid,No,0,99500,160000,765083,Enterprise,17
3,Jump Trading Group,Finance,Business Intelligence Researcher,Python (or similar) for automation; SQL; Linux; ETL pipelining/database concepts; Deep interest in trading/global markets; comfort with ambiguity; cross-team communication (technical <-> non-technical); Surface BI insights firm-wide; partner with developers/researchers/analysts; connect disparate data across teams/systems; post-trade statistical analysis of trading performance; broadcast insights globally; research to inform market-structure/exchange decisions; Finance,5,Senior,No,0,175000,200000,2102,Mid-size,761
4,Deloitte,Consulting,AI and Data Science Engineer II,"Exploratory data analysis; predictive modeling; clustering, sampling, feature transformation; boosted trees, logistic regression, classification, unsupervised models, LLMs, experimental design(industry data science/ML experience outside academia); ETL on large marketing datasets; adtech/martech data experience; presenting to non-technical audiences; deep learning or reinforcement learning; Translate business goals into ML use cases/model design; perform EDA to find relationships/attribution patterns; build & validate predictive models/POCs; collaborate with clients and cross-functional analytics/data engineering teamsAdvertising, Marketing & Commerce; AI & Data Science (Marketing & Advertising)",3,Mid,Yes,30,86700,170900,533222,Enterprise,165
5,Deloitte,Consulting,"Forward Deployed Engineer, Microsoft AI & Data","GenAI/LLM solution building; Azure AI Foundry; production code (testing, CI/CD, logging, versioning); leading project workstreamsyears software/data engineering, data science, or analytics engineering; 1+ years GenAI/LLM production experience; 1+ years Azure AI Foundry; Cloud (AWS/Azure/GCP); Spark, Airflow/dbt, streaming, data modeling; MLOps/LLMOps (evaluation, monitoring, prompt management); API/microservice integration; onshore/offshore team experience; Embed with clients to translate business needs into GenAI use cases; build AI-enabled solutions/agentic platforms/workflows; apply architecture decisions balancing quality/safety/latency/cost; deliver production-quality code; mentor newer team membersSoftware Engineer; AI Engineering (Software, not core analytics)",5,Senior,Yes,50,134500,265100,533222,Enterprise,99
6,Deloitte,Consulting,Analytics and Insights Engineer III,"Tableau, Datorama, Data Studio, Looker (dashboards/visualization); Google Analytics, DV360, Ads Data Hub, Adobe Analytics, Salesforce/SFMC; Excel, SQLyears (managing digital marketing/advertising analytics, incl. marketing mix modeling or attribution); Analytics/modeling/tagging strategy definition; measurement & testing plan design; digital analytics platforms & tag management; managing project timelines across workstreams; exec/client-facing presentation; Design/execute analyses across paid, owned, earned channels; develop measurement frameworks & learning agendas; analyze large datasets for insights/recommendations; build dashboards for exec/client audiences; support testing/tagging/experimentation deploymentAdvertising, Marketing & Commerce; Marketing & Advertising Analytics",4,Senior,Yes,30,116200,229100,533222,Enterprise,76
7,Accenture,Consulting,Growth Consultant,"Structured/hypothesis-led problem solving; business case development, financial modeling, investment analysis; concept testing/experimentation; data-to-storytelling synthesisstrategy consulting, corporate innovation, or analytics roles; Client-facing consulting delivery experience; customer research/experimentation exposure; CMT (Communications, Media, Technology) industry experience; MBA or innovation program experience; understanding of AI/GenAI applications; Conduct structured analysis of customer needs/market dynamics/competitive landscape; build business cases for investment decisions; run rapid validation/experimentation; synthesize insights into client recommendations; collaborate with design/product/marketing/data-AI teamsCustomer-Led Growth Strategy, CMT industry; Growth Strategy (CMT industry)",3,Mid,No,0,66300,196000,701656,Enterprise,300
8,Accenture,Consulting,Management Consultant,"Translating strategy into implementation plans/operating models; stakeholder management; ROI/value tracking; cost reduction & efficiency execution; client-ready executive materialsprofessional experience in tech industry or consulting; MBA or graduate degree; GenAI/ML/AI-platform application experience; Power BI, Tableau, Alteryx, Adobe Analytics, Google Analytics; familiarity with LLM tooling/AI platform strategy; Translate strategy/roadmaps into workstreams and operating models; drive execution directly with client teams; size and track transformation value/ROI; execute cost reduction/efficiency initiatives; develop client-ready materials; lead workstreams end-to-end; support business development; mentor junior team membersTech Industry Execution/Transformation; Tech Industry Transformation & Execution",5,Senior,Yes,50,66300,205800,701656,Enterprise,98
9,Accenture,Consulting,AI & Data Decision Science Consultant,"Python, R, or SQL; ML frameworks (TensorFlow, PyTorch, scikit-learn); AI-native/cloud platforms (OpenAI, Anthropic, AWS, Azure, GCP); big data (Hadoop, Spark); data visualization (Tableau, Power BI)Data Science/ML/AI/Advanced Analytics; 3+ years building decision-based frameworks/models; 1+ years serving utilities clients (electric, gas, or water); Agent-based modeling, reinforcement learning, autonomous systems; program management/communication skills; Master's in Data Science, CS, Statistics, or related field; Deliver Data Science/AI/Analytics initiatives; collaborate with onshore/offshore teams; bridge business and technical domains; support DS/ML sales solutioning; develop/customize DS/ML/AI models for business problems; identify AI use cases and build ROI/transformation roadmaps; advise on responsible AI adoption/governanceUtilities Industry; AI & Data Decision Science (Utilities industry focus)",5,Senior,Yes,70,66300,205800,701656,Enterprise,113
