Company,Skill,Skill Category,Skill Type,Frequency,Companies Requesting (Breadth),Company Posting Count,Frequency % of Company Postings,Category Postings Count,Category % of Company Postings
Accenture,Adobe Analytics,Marketing Analytics Stack,Preferred,2,2,4,50.0,3.0,75.0
Accenture,Alteryx,BI & Visualization Tools,Preferred,2,1,4,50.0,3.0,75.0
Accenture,Google Analytics,Marketing Analytics Stack,Preferred,2,2,4,50.0,3.0,75.0
Accenture,MBA or graduate degree,Credentials & Background,Preferred,2,1,4,50.0,4.0,100.0
Accenture,Power BI,BI & Visualization Tools,Preferred,2,1,4,50.0,3.0,75.0
Accenture,Tableau,BI & Visualization Tools,Preferred,2,2,4,50.0,3.0,75.0
Accenture,business case development,Business Case & Strategy Framing,Required,2,1,4,50.0,4.0,100.0
Accenture,familiarity with LLM tooling/AI platform strategy,AI/GenAI Strategy & Application,Preferred,2,1,4,50.0,4.0,100.0
Accenture,"AI-native/cloud platforms (OpenAI, Anthropic, AWS, Azure, GCP)",Cloud & DevOps,Required,1,1,4,25.0,1.0,25.0
Accenture,Agent-based modeling,Statistical & ML Modeling,Preferred,1,1,4,25.0,3.0,75.0
Accenture,"CMT (Communications, Media, Technology) industry experience",Credentials & Background,Preferred,1,1,4,25.0,4.0,100.0
Accenture,CS,Credentials & Background,Preferred,1,1,4,25.0,4.0,100.0
Accenture,Client-facing consulting delivery experience,Executive & Client Communication,Preferred,1,1,4,25.0,3.0,75.0
Accenture,GenAI/ML/AI-platform application experience,AI/GenAI Strategy & Application,Preferred,1,1,4,25.0,4.0,100.0
Accenture,MBA or innovation program experience,Credentials & Background,Preferred,1,1,4,25.0,4.0,100.0
Accenture,"ML frameworks (TensorFlow, PyTorch, scikit-learn)",Statistical & ML Modeling,Required,1,1,4,25.0,3.0,75.0
Accenture,Market/competitive analysis,Business Case & Strategy Framing,Required,1,1,4,25.0,4.0,100.0
Accenture,Master's in Data Science,Credentials & Background,Preferred,1,1,4,25.0,4.0,100.0
Accenture,Python,Python & Scripting,Required,1,2,4,25.0,1.0,25.0
Accenture,R,Additional Stat Languages,Required,1,3,4,25.0,,
Accenture,ROI/value tracking,Business Case & Strategy Framing,Required,1,1,4,25.0,4.0,100.0
Accenture,Statistics,Statistical & ML Modeling,Preferred,1,1,4,25.0,3.0,75.0
Accenture,Structured/hypothesis-led problem solving,Business Case & Strategy Framing,Required,1,1,4,25.0,4.0,100.0
Accenture,Translating strategy into implementation plans/operating models,Business Case & Strategy Framing,Required,1,1,4,25.0,4.0,100.0
Accenture,autonomous systems,AI/GenAI Strategy & Application,Preferred,1,1,4,25.0,4.0,100.0
Accenture,"big data (Hadoop, Spark)",Data Engineering & Pipelines,Required,1,1,4,25.0,1.0,25.0
Accenture,client relationship management,Executive & Client Communication,Required,1,1,4,25.0,3.0,75.0
Accenture,client-ready executive materials,Executive & Client Communication,Required,1,1,4,25.0,3.0,75.0
Accenture,concept testing/experimentation,Marketing Analytics Stack,Required,1,1,4,25.0,3.0,75.0
Accenture,cost reduction & efficiency execution,Business Case & Strategy Framing,Required,1,1,4,25.0,4.0,100.0
Accenture,customer research/experimentation exposure,Marketing Analytics Stack,Preferred,1,1,4,25.0,3.0,75.0
Accenture,"data visualization (Tableau, Power BI)",BI & Visualization Tools,Required,1,1,4,25.0,3.0,75.0
Accenture,data-to-storytelling synthesis,Executive & Client Communication,Required,1,1,4,25.0,3.0,75.0
Accenture,financial modeling,Business Case & Strategy Framing,Required,1,1,4,25.0,4.0,100.0
Accenture,hands-on GenAI/ML/AI-platform experience,AI/GenAI Strategy & Application,Preferred,1,1,4,25.0,4.0,100.0
Accenture,investment analysis,Business Case & Strategy Framing,Required,1,1,4,25.0,4.0,100.0
Accenture,market sizing & financial scenario modeling,Business Case & Strategy Framing,Required,1,1,4,25.0,4.0,100.0
Accenture,or SQL,SQL,Required,1,1,4,25.0,1.0,25.0
Accenture,or related field,Credentials & Background,Preferred,1,1,4,25.0,4.0,100.0
Accenture,program management/communication skills,Business Case & Strategy Framing,Preferred,1,1,4,25.0,4.0,100.0
Accenture,reinforcement learning,Statistical & ML Modeling,Preferred,1,1,4,25.0,3.0,75.0
Accenture,stakeholder management,Executive & Client Communication,Required,1,1,4,25.0,3.0,75.0
Accenture,understanding of AI/GenAI applications,AI/GenAI Strategy & Application,Preferred,1,1,4,25.0,4.0,100.0
Accenture,workstream leadership end-to-end,Business Case & Strategy Framing,Required,1,1,4,25.0,4.0,100.0
Amazon,"AWS (EC2, DynamoDB, S3, Redshift)",Cloud & DevOps,Preferred,1,1,1,100.0,1.0,100.0
Amazon,ETL,Data Engineering & Pipelines,Required,1,1,1,100.0,1.0,100.0
Amazon,Matlab,Additional Stat Languages,Required,1,1,1,100.0,1.0,100.0
Amazon,NoSQL,Data Engineering & Pipelines,Required,1,1,1,100.0,1.0,100.0
Amazon,Oracle,Data Engineering & Pipelines,Required,1,1,1,100.0,1.0,100.0
Amazon,Python scripting,Python & Scripting,Required,1,1,1,100.0,1.0,100.0
Amazon,R,Additional Stat Languages,Required,1,3,1,100.0,1.0,100.0
Amazon,Redshift,Data Engineering & Pipelines,Required,1,1,1,100.0,1.0,100.0
Amazon,SAS,Additional Stat Languages,Required,1,1,1,100.0,1.0,100.0
Amazon,SQL,SQL,Required,1,4,1,100.0,1.0,100.0
Amazon,Tableau/QuickSight,BI & Visualization Tools,Required,1,1,1,100.0,1.0,100.0
Amazon,data modeling & warehousing,Data Engineering & Pipelines,Required,1,1,1,100.0,1.0,100.0
